"Date" "Tem_4m_2p5_AVG" "Tem_4m_12p5_AVG" "Tem_4m_22p5_AVG" "Tem_4m_37p5_AVG" "Tem_4m_52p5_AVG"
2368 15.071578484375 15.6077911458333 16.2414308333333 17.1699431770833 18.0395447916667
2369 13.6497886527778 14.3579216180556 15.3303270833333 17.11578515625 18.7861502083333
2370 16.3666502222222 17.0532611805556 17.4711124479167 18.38694984375 19.1604072395833
2371 18.5914810989583 19.3630759375 19.8231677083333 20.27626828125 20.6271934375
2372 15.7350942916667 15.45578703125 15.8603868229167 16.4871892708333 17.2032794791667
2373 16.6866652083333 17.1329331770833 17.5498620833333 17.9906980729167 18.4957544270833
2374 13.654332171875 14.2226869791667 14.9805708333333 16.4999668229167 18.1900198958333
2375 19.7760621875 19.8927857291667 20.11147875 20.4360084895833 20.8221819791667
2376 15.905554390625 16.4157894791667 16.8131023958333 17.3476253125 17.9557665625
2377 14.3742115972222 15.2795552083333 16.11473796875 17.29689921875 18.49706640625
2378 19.1841391666667 19.3360767361111 18.9324859895833 18.9134219791667 19.2514520833333
2379 19.3083294791667 19.7787496354167 20.0509772395833 20.36111484375 20.662135625
2380 15.508303921875 16.2953044270833 16.67441265625 16.9568536979167 17.3994729166667
2381 17.330476484375 17.5801574479167 17.8709550520833 18.18699015625 18.5992151041667
2382 13.7670828385417 14.3676016145833 15.1320724479167 16.5053236979167 17.9956633854167
2383 19.1390580989583 19.5290659375 20.0098067708333 20.48326796875 20.84235703125
2384 14.87974853125 15.5986188020833 16.30313875 17.1537538541667 17.8605772395833
2385 12.8104607222222 14.016348125 15.18420796875 16.81019140625 18.2081044791667
2386 17.4138734027778 18.2303402083333 18.6470691145833 19.1645791666667 19.5053463541667
2387 16.15506534375 18.5105944791667 19.53128625 20.2650197916667 20.6566971875
2388 12.466489234375 14.02623421875 15.3914241145833 16.5895751041667 17.3830524479167
2389 18.6081235416667 18.4935427083333 18.5122408333333 18.5677761979167 18.79826484375
2390 15.8146235885417 15.8689440625 16.125784375 16.88873828125 17.9980547916667
2391 20.45202 20.42864265625 20.4604527604167 20.5884275 20.8411322916667
2392 15.8186496979167 16.0735215104167 16.4586425 17.0560194791667 17.7067967708333
2393 12.2688425138889 13.6764782013889 14.8354422395833 16.4103473958333 17.8077059375
2394 14.12491575 16.3176677777778 17.6203188020833 18.7738036458333 19.3806540104167
2395 12.8289314166667 15.8769640625 17.6933769270833 19.3255514583333 20.2352858333333
2396 12.8913960520833 13.6776171354167 14.7544714583333 15.956721875 16.9490947916667
2397 18.7281699479167 19.0242764583333 19.1295117708333 19.08589125 19.1239836979167
2398 15.0953953177083 15.8042091666667 16.4092449479167 17.26659609375 18.1953766145833
2399 18.437241984375 19.3695159375 20.0239728125 20.55603921875 20.8719664583333
2400 14.5604783333333 15.6350336979167 16.37007703125 17.1008113541667 17.6970386979167
2401 10.5174681527778 12.0512025138889 13.5952055729167 15.64238390625 17.30637703125
2402 12.0876408333333 14.1029781458333 15.6636919791667 17.5926036979167 18.8019868229167
2403 11.8324922291667 14.5026058854167 16.28315328125 18.1986388020833 19.505700625
2404 15.6975640104167 15.3687438020833 15.56500140625 16.0520514583333 16.77632578125
2405 16.299767453125 17.36427125 18.1618305208333 18.8021797916667 19.1598097395833
2406 13.5241858072917 14.6692426041667 15.7185361458333 17.0345897395833 18.1464536979167
2407 18.718757109375 19.1131765625 19.6576873958333 20.2693369270833 20.7155134895833
2408 13.991240453125 14.9049417708333 15.6767856770833 16.62218703125 17.4180915104167
2409 12.9630467916667 13.5278327847222 14.0423165625 15.3877673958333 16.8697575
2410 12.7528951458333 14.2311906319444 15.2391780208333 16.8766840104167 18.1755390104167
2411 11.90275840625 14.0155252083333 15.569143125 17.4148242708333 18.83971390625
2412 15.8810674479167 16.0098077604167 16.27558515625 16.5760516145833 17.0002539583333
2413 15.520195578125 16.6073019270833 17.4535414583333 18.257250625 18.8434181770833
2414 13.3506658333333 14.2037990104167 15.0561032291667 16.4060067708333 17.7345999479167
2415 19.7069158333333 19.6990220833333 19.905083125 20.2497215625 20.6091519270833
