"year" "doy" "hour" "month" "SW"
2010 13 7 1 -9999
2010 13 8 1 -9999
2010 13 9 1 -9999
2010 13 10 1 -9999
2010 13 11 1 -9999
2010 13 12 1 -9999
2010 13 13 1 -9999
2010 13 14 1 -9999
2010 13 15 1 -9999
2010 13 16 1 -9999
2010 13 17 1 -9999
2010 13 18 1 -9999
2010 13 19 1 -9999
2010 13 20 1 -9999
2010 13 21 1 -9999
2010 13 22 1 -9999
2010 13 23 1 -9999
2010 14 0 1 -9999
2010 14 1 1 -9999
2010 14 2 1 -9999
2010 14 3 1 -9999
2010 14 4 1 -9999
2010 14 5 1 -9999
2010 14 6 1 -9999
2010 14 7 1 -9999
2010 14 8 1 -9999
2010 14 9 1 -9999
2010 14 10 1 -9999
2010 14 11 1 -9999
2010 14 12 1 -9999
2010 14 13 1 -9999
2010 14 14 1 -9999
2010 14 15 1 -9999
2010 14 16 1 -9999
2010 14 17 1 -9999
2010 14 18 1 -9999
2010 14 19 1 -9999
2010 14 20 1 -9999
2010 14 21 1 -9999
2010 14 22 1 -9999
2010 14 23 1 -9999
2010 15 0 1 -9999
2010 15 1 1 -9999
2010 15 2 1 -9999
2010 15 3 1 -9999
2010 15 4 1 -9999
2010 15 5 1 -9999
2010 15 6 1 -9999
2010 15 7 1 -9999
2010 15 8 1 -9999
2010 15 9 1 -9999
2010 15 10 1 -9999
2010 15 11 1 -9999
2010 15 12 1 -9999
2010 15 13 1 -9999
2010 15 14 1 -9999
2010 15 15 1 -9999
2010 15 16 1 -9999
2010 15 17 1 -9999
2010 15 18 1 -9999
2010 15 19 1 -9999
2010 15 20 1 -9999
2010 15 21 1 -9999
2010 15 22 1 -9999
2010 15 23 1 -9999
2010 16 0 1 -9999
2010 16 1 1 -9999
2010 16 2 1 -9999
2010 16 3 1 -9999
2010 16 4 1 -9999
2010 16 5 1 -9999
2010 16 6 1 -9999
2010 16 7 1 -9999
2010 16 8 1 -9999
2010 16 9 1 -9999
2010 16 10 1 -9999
2010 16 11 1 -9999
2010 16 12 1 -9999
2010 16 13 1 -9999
2010 16 14 1 -9999
2010 16 15 1 -9999
2010 16 16 1 -9999
2010 16 17 1 -9999
2010 16 18 1 -9999
2010 16 19 1 -9999
2010 16 20 1 -9999
2010 16 21 1 -9999
2010 16 22 1 -9999
2010 16 23 1 -9999
2010 17 0 1 -9999
2010 17 1 1 -9999
2010 17 2 1 -9999
2010 17 3 1 -9999
2010 17 4 1 -9999
2010 17 5 1 -9999
2010 17 6 1 -9999
2010 17 7 1 -9999
2010 17 8 1 -9999
2010 17 9 1 -9999
2010 17 10 1 -9999
2010 17 11 1 -9999
2010 17 12 1 -9999
2010 17 13 1 -9999
2010 17 14 1 -9999
2010 17 15 1 -9999
2010 17 16 1 -9999
2010 17 17 1 -9999
2010 17 18 1 -9999
2010 17 19 1 -9999
2010 17 20 1 -9999
2010 17 21 1 -9999
2010 17 22 1 -9999
2010 17 23 1 -9999
2010 18 0 1 -9999
2010 18 1 1 -9999
2010 18 2 1 -9999
2010 18 3 1 -9999
2010 18 4 1 -9999
2010 18 5 1 -9999
2010 18 6 1 -9999
2010 18 7 1 -9999
2010 18 8 1 -9999
2010 18 9 1 -9999
2010 18 10 1 -9999
2010 18 11 1 -9999
2010 18 12 1 -9999
2010 18 13 1 -9999
2010 18 14 1 -9999
2010 18 15 1 -9999
2010 18 16 1 -9999
2010 18 17 1 -9999
2010 18 18 1 -9999
2010 18 19 1 -9999
2010 18 20 1 -9999
2010 18 21 1 -9999
2010 18 22 1 -9999
2010 18 23 1 -9999
2010 19 0 1 -9999
2010 19 1 1 -9999
2010 19 2 1 -9999
2010 19 3 1 -9999
2010 19 4 1 -9999
2010 19 5 1 -9999
2010 19 6 1 -9999
2010 19 7 1 -9999
2010 19 8 1 -9999
2010 19 9 1 -9999
2010 19 10 1 -9999
2010 19 11 1 -9999
2010 19 12 1 -9999
2010 19 13 1 -9999
2010 19 14 1 -9999
2010 19 15 1 -9999
2010 19 16 1 -9999
2010 19 17 1 -9999
2010 19 18 1 -9999
2010 19 19 1 -9999
2010 19 20 1 -9999
2010 19 21 1 -9999
2010 19 22 1 -9999
2010 19 23 1 -9999
2010 20 0 1 -9999
2010 20 1 1 -9999
2010 20 2 1 -9999
2010 20 3 1 -9999
2010 20 4 1 -9999
2010 20 5 1 -9999
2010 20 6 1 -9999
2010 20 7 1 -9999
2010 20 8 1 -9999
2010 20 9 1 -9999
2010 20 10 1 -9999
2010 20 11 1 -9999
2010 20 12 1 -9999
2010 20 13 1 -9999
2010 20 14 1 -9999
2010 20 15 1 -9999
2010 20 16 1 -9999
2010 20 17 1 -9999
2010 20 18 1 -9999
2010 20 19 1 -9999
2010 20 20 1 -9999
2010 20 21 1 -9999
2010 20 22 1 -9999
2010 20 23 1 -9999
2010 21 0 1 -9999
2010 21 1 1 -9999
2010 21 2 1 -9999
2010 21 3 1 -9999
2010 21 4 1 -9999
2010 21 5 1 -9999
2010 21 6 1 -9999
2010 21 7 1 -9999
2010 21 8 1 -9999
2010 21 9 1 -9999
2010 21 10 1 -9999
2010 21 11 1 -9999
2010 21 12 1 -9999
2010 21 13 1 -9999
2010 21 14 1 -9999
2010 21 15 1 -9999
2010 21 16 1 -9999
2010 21 17 1 -9999
2010 21 18 1 -9999
2010 21 19 1 -9999
2010 21 20 1 -9999
2010 21 21 1 -9999
2010 21 22 1 -9999
2010 21 23 1 -9999
2010 22 0 1 -9999
2010 22 1 1 -9999
2010 22 2 1 -9999
2010 22 3 1 -9999
2010 22 4 1 -9999
2010 22 5 1 -9999
2010 22 6 1 -9999
2010 22 7 1 -9999
2010 22 8 1 -9999
2010 22 9 1 -9999
2010 22 10 1 -9999
2010 22 11 1 -9999
2010 22 12 1 -9999
2010 22 13 1 -9999
2010 22 14 1 -9999
2010 22 15 1 -9999
2010 22 16 1 -9999
2010 22 17 1 -9999
2010 22 18 1 -9999
2010 22 19 1 -9999
2010 22 20 1 -9999
2010 22 21 1 -9999
2010 22 22 1 -9999
2010 22 23 1 -9999
2010 23 0 1 -9999
2010 23 1 1 -9999
2010 23 2 1 -9999
2010 23 3 1 -9999
2010 23 4 1 -9999
2010 23 5 1 -9999
2010 23 6 1 -9999
2010 23 7 1 -9999
2010 23 8 1 -9999
2010 23 9 1 -9999
2010 23 10 1 -9999
2010 23 11 1 -9999
2010 23 12 1 -9999
2010 23 13 1 -9999
2010 23 14 1 -9999
2010 23 15 1 -9999
2010 23 16 1 -9999
2010 23 17 1 -9999
2010 23 18 1 -9999
2010 23 19 1 -9999
2010 23 20 1 -9999
2010 23 21 1 -9999
2010 23 22 1 -9999
2010 23 23 1 -9999
2010 24 0 1 -9999
2010 24 1 1 -9999
2010 24 2 1 -9999
2010 24 3 1 -9999
2010 24 4 1 -9999
2010 24 5 1 -9999
2010 24 6 1 -9999
2010 24 7 1 -9999
2010 24 8 1 -9999
2010 24 9 1 -9999
2010 24 10 1 -9999
2010 24 11 1 -9999
2010 24 12 1 -9999
2010 24 13 1 -9999
2010 24 14 1 -9999
2010 24 15 1 -9999
2010 24 16 1 -9999
2010 24 17 1 -9999
2010 24 18 1 -9999
2010 24 19 1 -9999
2010 24 20 1 -9999
2010 24 21 1 -9999
2010 24 22 1 -9999
2010 24 23 1 -9999
2010 25 0 1 -9999
2010 25 1 1 -9999
2010 25 2 1 -9999
2010 25 3 1 -9999
2010 25 4 1 -9999
2010 25 5 1 -9999
2010 25 6 1 -9999
2010 25 7 1 -9999
2010 25 8 1 -9999
2010 25 9 1 -9999
2010 25 10 1 -9999
2010 25 11 1 -9999
2010 25 12 1 -9999
2010 25 13 1 -9999
2010 25 14 1 -9999
2010 25 15 1 -9999
2010 25 16 1 -9999
2010 25 17 1 -9999
2010 25 18 1 -9999
2010 25 19 1 -9999
2010 25 20 1 -9999
2010 25 21 1 -9999
2010 25 22 1 -9999
2010 25 23 1 -9999
2010 26 0 1 -9999
2010 26 1 1 -9999
2010 26 2 1 -9999
2010 26 3 1 -9999
2010 26 4 1 -9999
2010 26 5 1 -9999
2010 26 6 1 -9999
2010 26 7 1 -9999
2010 26 8 1 -9999
2010 26 9 1 -9999
2010 26 10 1 -9999
2010 26 11 1 -9999
2010 26 12 1 -9999
2010 26 13 1 -9999
2010 26 14 1 -9999
2010 26 15 1 -9999
2010 26 16 1 -9999
2010 26 17 1 -9999
2010 26 18 1 -9999
2010 26 19 1 -9999
2010 26 20 1 -9999
2010 26 21 1 -9999
2010 26 22 1 -9999
2010 26 23 1 -9999
2010 27 0 1 -9999
2010 27 1 1 -9999
2010 27 2 1 -9999
2010 27 3 1 -9999
2010 27 4 1 -9999
2010 27 5 1 -9999
2010 27 6 1 -9999
2010 27 7 1 -9999
2010 27 8 1 -9999
2010 27 9 1 -9999
2010 27 10 1 -9999
2010 27 11 1 -9999
2010 27 12 1 -9999
2010 27 13 1 -9999
2010 27 14 1 -9999
2010 27 15 1 -9999
2010 27 16 1 -9999
2010 27 17 1 -9999
2010 27 18 1 -9999
2010 27 19 1 -9999
2010 27 20 1 -9999
2010 27 21 1 -9999
2010 27 22 1 -9999
2010 27 23 1 -9999
2010 28 0 1 -9999
2010 28 1 1 -9999
2010 28 2 1 -9999
2010 28 3 1 -9999
2010 28 4 1 -9999
2010 28 5 1 -9999
2010 28 6 1 -9999
2010 28 7 1 -9999
2010 28 8 1 -9999
2010 28 9 1 -9999
2010 28 10 1 -9999
2010 28 11 1 -9999
2010 28 12 1 -9999
