days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd	Foliage	Foliage_sd	FoliageNPP	FNPP_sd	Wood	Wood_sd	WoodNPP	WNPP_sd	Root	Root_sd	RootNPP	RNPP_sd	SoilC	SoilC_sd	Phenology	Pheno_sd
1211	0.830136487	-9999	-0.399140207	-9999	0.43099628	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1219	0.726631579	-9999	-0.36191813	-9999	0.364713448	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1225	0.700174635	-9999	-0.445390778	-9999	0.254783857	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1227	0.682381762	-9999	-0.438592536	-9999	0.243789226	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1242	0.116027961	-9999	0.279475348	-9999	0.395503309	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1244	0.369954455	-9999	0.065867634	-9999	0.435822089	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1246	0.444886889	-9999	-0.092703262	-9999	0.352183626	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1247	0.496689802	-9999	-0.069730861	-9999	0.426958941	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1257	0.48868141	-9999	-0.093624517	-9999	0.395056892	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1267	0.537370273	-9999	-0.02159528	-9999	0.515774993	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1271	0.597151532	-9999	-0.234351852	-9999	0.36279968	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1276	0.12545625	-9999	0.041444957	-9999	0.166901207	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1283	0.017617534	-9999	0.855642979	-9999	0.873260514	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1301	0.867058875	-9999	-0.195117357	-9999	0.671941518	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1302	0.781215484	-9999	-0.065696444	-9999	0.715519041	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1311	0.941153678	-9999	0.306505037	-9999	1.247658715	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1317	2.686466048	-9999	-0.963481608	-9999	1.72298444	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1319	2.297595751	-9999	-0.539472701	-9999	1.75812305	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1320	3.252763452	-9999	-1.249608384	-9999	2.003155068	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1332	3.577240006	-9999	-2.710410984	-9999	0.866829022	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1342	3.012539698	-9999	-1.252031234	-9999	1.760508464	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1345	2.284822591	-9999	-0.846691056	-9999	1.438131535	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1347	2.935280183	-9999	-1.523372184	-9999	1.411907999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1353	1.468507977	-9999	-0.629228088	-9999	0.839279889	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1365	-9999	-9999	-9999	-9999	-9999	-9999	98.6952	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1366	2.161033393	-9999	-1.015058023	-9999	1.14597537	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1367	2.236039347	-9999	-1.209019176	-9999	1.027020171	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
