     61,         3.7725,         3.1845,         3.0674,         2.9659,         2.9292,         2.9890,         3.2204,         3.6485,         4.1506,         4.6945,         5.2395
     62,         5.8837,         3.8799,         3.2582,         3.0525,         3.0073,         3.0535,         3.2540,         3.6657,         4.1597,         4.6946,         5.2302
     63,         7.4237,         4.7688,         3.7185,         3.2645,         3.1155,         3.1211,         3.2926,         3.6848,         4.1688,         4.6947,         5.2211
     64,         6.2040,         5.0967,         4.1838,         3.5711,         3.2860,         3.2143,         3.3383,         3.7063,         4.1783,         4.6949,         5.2122
     65,         5.5236,         4.4721,         4.1586,         3.7681,         3.4697,         3.3359,         3.3962,         3.7311,         4.1886,         4.6951,         5.2034
     66,         9.6586,         6.0560,         4.5884,         3.9272,         3.6054,         3.4542,         3.4649,         3.7606,         4.2001,         4.6957,         5.1948
     67,         4.9517,         5.4660,         4.9297,         4.2447,         3.7994,         3.5795,         3.5394,         3.7946,         4.2134,         4.6967,         5.1864
     68,         4.7186,         4.8635,         4.6936,         4.3302,         3.9642,         3.7194,         3.6225,         3.8331,         4.2287,         4.6985,         5.1781
     69,         2.2557,         3.9057,         4.3574,         4.2738,         4.0377,         3.8316,         3.7090,         3.8762,         4.2462,         4.7011,         5.1700
     70,         3.4298,         3.8136,         4.0481,         4.1139,         4.0273,         3.8979,         3.7881,         3.9223,         4.2661,         4.7047,         5.1620
     71,         3.0652,         3.7176,         3.9119,         3.9987,         3.9850,         3.9226,         3.8513,         3.9683,         4.2879,         4.7093,         5.1543
     72,         6.3119,         4.1055,         3.8566,         3.9149,         3.9419,         3.9264,         3.8978,         4.0117,         4.3109,         4.7150,         5.1468
     73,         4.6710,         4.9200,         4.3757,         4.0427,         3.9477,         3.9279,         3.9311,         4.0506,         4.3341,         4.7215,         5.1395
     74,         2.5511,         3.8560,         4.1886,         4.1337,         4.0221,         3.9613,         3.9610,         4.0851,         4.3568,         4.7285,         5.1325
     75,         4.3150,         3.7903,         3.9011,         4.0221,         4.0266,         3.9965,         3.9938,         4.1169,         4.3785,         4.7357,         5.1257
     76,         6.7355,         4.5733,         4.0737,         3.9981,         4.0026,         4.0065,         4.0231,         4.1467,         4.3992,         4.7430,         5.1192
     77,         9.7802,         6.0303,         4.6978,         4.1960,         4.0489,         4.0209,         4.0470,         4.1741,         4.4189,         4.7501,         5.1128
     78,         5.9471,         6.1809,         5.3034,         4.5690,         4.2119,         4.0810,         4.0744,         4.1995,         4.4375,         4.7569,         5.1067
     79,        -0.4362,         3.7137,         4.7726,         4.6821,         4.3861,         4.1886,         4.1173,         4.2253,         4.4552,         4.7635,         5.1009
     80,         3.4629,         3.4013,         3.9897,         4.3547,         4.3687,         4.2645,         4.1717,         4.2540,         4.4726,         4.7698,         5.0952
